W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
L,36,93,0.387,5,33,0.152,20,23,0.87,17,49,19,5,4,12,12,46,86,0.535,24,46,0.522,12,13,0.923,5,41,35,5,7,10,14
L,37,94,0.394,6,31,0.194,12,19,0.632,13,51,17,7,1,13,23,35,80,0.438,15,41,0.366,17,26,0.654,5,49,17,6,4,16,18
W,50,92,0.543,11,19,0.579,11,16,0.688,7,48,27,7,1,6,17,34,84,0.405,12,34,0.353,14,16,0.875,8,41,19,4,4,14,15
L,39,97,0.402,9,28,0.321,12,16,0.75,8,37,24,10,4,9,14,44,80,0.55,14,35,0.4,17,18,0.944,4,47,34,6,8,17,19
W,50,94,0.532,10,30,0.333,23,28,0.821,11,56,27,16,3,18,31,23,83,0.277,4,45,0.089,34,41,0.829,12,38,10,7,6,23,24
W,47,95,0.495,13,29,0.448,18,23,0.783,9,44,26,15,1,11,21,41,81,0.506,11,31,0.355,18,25,0.72,4,37,29,8,3,22,20
L,40,101,0.396,8,34,0.235,23,24,0.958,17,56,21,13,8,12,20,42,95,0.442,10,34,0.294,18,22,0.818,13,52,21,11,5,16,19
W,50,99,0.505,8,23,0.348,19,29,0.655,14,60,31,4,6,15,26,38,95,0.4,11,36,0.306,25,27,0.926,6,39,23,9,6,9,26
L,40,87,0.46,14,28,0.5,8,8,1,8,45,27,6,5,16,15,41,92,0.446,13,37,0.351,8,11,0.727,9,45,27,10,5,9,10
L,47,92,0.511,7,22,0.318,21,29,0.724,11,32,27,13,3,7,21,42,73,0.575,16,31,0.516,28,34,0.824,8,46,26,7,4,24,20
L,38,87,0.437,5,23,0.217,18,26,0.692,10,39,15,11,0,10,17,47,83,0.566,12,30,0.4,16,18,0.889,5,42,28,7,5,14,19
W,30,85,0.353,10,42,0.238,19,25,0.76,8,50,22,5,4,9,17,32,89,0.36,8,34,0.235,13,18,0.722,8,51,17,4,2,10,21
L,39,84,0.464,8,26,0.308,17,21,0.81,9,46,24,10,6,20,17,44,91,0.484,15,41,0.366,13,18,0.722,8,43,31,13,6,13,16
W,37,95,0.389,10,32,0.313,27,31,0.871,13,60,25,8,5,12,22,31,90,0.344,13,41,0.317,28,34,0.824,7,46,23,8,7,11,25
W,55,110,0.5,12,35,0.343,10,15,0.667,17,54,38,8,6,10,20,47,90,0.522,17,35,0.486,15,24,0.625,5,43,31,3,6,12,18
W,47,99,0.475,11,30,0.367,11,13,0.846,14,56,19,12,10,17,10,43,95,0.453,10,35,0.286,11,17,0.647,9,44,26,13,8,14,10
L,44,97,0.454,12,30,0.4,14,18,0.778,12,48,27,3,2,6,14,45,98,0.459,12,33,0.364,15,18,0.833,14,51,25,5,4,7,15
L,39,97,0.402,9,33,0.273,23,30,0.767,16,47,24,16,2,14,14,46,92,0.5,19,45,0.422,15,20,0.75,13,52,22,8,8,21,22
W,46,85,0.541,11,31,0.355,17,24,0.708,7,47,31,8,4,16,18,40,94,0.426,11,42,0.262,19,22,0.864,10,42,28,9,5,12,18
L,42,90,0.467,5,18,0.278,18,23,0.783,11,46,23,10,4,11,20,38,89,0.427,16,49,0.327,19,25,0.76,11,46,20,10,5,14,21
W,42,95,0.442,19,39,0.487,17,25,0.68,14,53,26,8,4,10,20,38,85,0.447,12,33,0.364,20,23,0.87,5,39,21,6,6,11,20
W,44,89,0.494,16,38,0.421,12,15,0.8,10,49,30,6,10,12,23,37,89,0.416,8,34,0.235,18,28,0.643,16,50,23,4,6,10,19
W,46,84,0.548,17,41,0.415,15,20,0.75,9,42,30,11,2,13,13,44,82,0.537,13,33,0.394,11,18,0.611,7,35,34,9,4,12,16
W,48,89,0.539,17,40,0.425,18,21,0.857,11,54,30,5,5,14,17,45,101,0.446,10,28,0.357,13,15,0.867,11,42,26,5,3,7,19
L,47,94,0.5,14,30,0.467,21,34,0.618,10,43,33,7,6,14,27,45,96,0.469,14,32,0.438,29,33,0.879,11,48,24,7,7,12,25
L,53,115,0.461,6,20,0.3,13,19,0.684,24,50,27,11,6,6,12,52,99,0.525,13,37,0.351,15,17,0.882,15,53,35,5,10,12,16
W,40,85,0.471,9,28,0.321,12,14,0.857,10,51,27,7,7,20,20,36,86,0.419,5,31,0.161,13,17,0.765,8,40,23,8,3,17,16
L,42,90,0.467,13,34,0.382,16,21,0.762,11,45,27,7,3,7,18,44,88,0.5,13,40,0.325,13,17,0.765,8,45,25,4,3,11,17
W,45,86,0.523,17,40,0.425,19,24,0.792,6,42,33,9,4,5,17,45,96,0.469,13,34,0.382,12,15,0.8,13,46,34,3,1,11,20
W,51,93,0.548,15,40,0.375,11,12,0.917,7,43,31,10,3,10,18,39,91,0.429,16,47,0.34,21,27,0.778,13,45,27,7,1,16,8
L,51,107,0.477,17,40,0.425,18,24,0.75,10,47,33,15,3,14,24,51,102,0.5,15,39,0.385,22,26,0.846,13,58,30,6,6,24,19
L,38,84,0.452,13,30,0.433,16,23,0.696,11,42,19,6,8,13,29,38,84,0.452,14,27,0.519,27,36,0.75,10,43,28,4,5,12,17
W,52,98,0.531,9,30,0.3,17,22,0.773,8,39,33,7,5,8,21,46,96,0.479,14,35,0.4,22,27,0.815,14,50,28,6,3,11,20
W,42,91,0.462,12,23,0.522,24,28,0.857,8,54,22,9,7,15,22,39,105,0.371,14,38,0.368,21,25,0.84,15,53,21,11,6,11,22
L,34,81,0.42,4,32,0.125,24,31,0.774,6,45,20,8,6,16,22,45,94,0.479,11,33,0.333,19,22,0.864,8,48,25,8,3,11,20
L,37,88,0.42,9,32,0.281,26,30,0.867,8,44,26,7,6,11,21,45,92,0.489,15,40,0.375,25,28,0.893,11,51,23,7,6,10,20
W,34,99,0.343,11,39,0.282,13,16,0.813,15,57,25,10,8,8,15,27,86,0.314,6,26,0.231,15,20,0.75,12,56,16,4,6,20,19
L,44,96,0.458,10,29,0.345,13,21,0.619,17,55,21,6,10,16,20,38,85,0.447,11,25,0.44,25,28,0.893,6,37,20,10,5,10,17
L,34,86,0.395,16,41,0.39,20,24,0.833,13,46,26,7,4,12,14,45,89,0.506,14,27,0.519,14,18,0.778,8,45,19,6,8,8,21
W,52,97,0.536,14,29,0.483,21,28,0.75,12,46,30,6,4,13,19,49,94,0.521,19,39,0.487,18,22,0.818,12,41,32,7,5,14,22
L,38,89,0.427,10,37,0.27,11,17,0.647,12,42,25,7,5,15,14,44,83,0.53,11,28,0.393,12,14,0.857,5,39,24,9,6,11,18
W,38,85,0.447,14,43,0.326,19,26,0.731,14,56,24,7,8,17,21,36,94,0.383,10,32,0.313,17,24,0.708,13,46,18,10,2,11,21
W,45,91,0.495,9,30,0.3,16,27,0.593,10,49,33,8,19,10,17,43,97,0.443,10,23,0.435,14,21,0.667,14,50,29,9,4,12,18
W,51,89,0.573,16,33,0.485,15,16,0.938,10,44,32,11,6,10,16,37,88,0.42,12,38,0.316,18,19,0.947,13,35,23,8,2,12,15
W,45,90,0.5,11,33,0.333,15,18,0.833,12,48,30,2,9,18,13,42,96,0.438,17,41,0.415,9,14,0.643,13,35,33,9,9,10,16
W,37,84,0.44,11,33,0.333,22,35,0.629,9,49,23,8,5,13,20,37,96,0.385,10,42,0.238,22,27,0.815,14,56,21,7,2,10,21
L,40,92,0.435,6,25,0.24,15,19,0.789,12,39,25,12,5,12,21,41,83,0.494,15,39,0.385,16,18,0.889,12,46,26,9,4,19,19
W,48,101,0.475,18,40,0.45,8,11,0.727,10,37,23,8,6,6,17,46,90,0.511,14,35,0.4,15,18,0.833,11,52,19,4,6,16,20
L,37,98,0.378,8,27,0.296,13,19,0.684,20,47,23,6,5,15,27,41,76,0.539,15,29,0.517,26,31,0.839,9,43,21,5,10,15,22
L,40,79,0.506,9,23,0.391,18,24,0.75,6,40,21,13,7,18,17,45,88,0.511,7,26,0.269,11,15,0.733,8,37,23,11,7,16,20
W,40,80,0.5,9,22,0.409,27,37,0.73,12,43,21,10,3,14,16,43,84,0.512,12,33,0.364,13,16,0.813,4,36,27,9,5,14,25
W,49,91,0.538,16,39,0.41,12,14,0.857,10,42,27,17,11,16,21,40,93,0.43,9,33,0.273,18,25,0.72,14,46,26,8,3,22,13
L,39,83,0.47,8,31,0.258,7,14,0.5,7,44,20,12,11,19,20,36,88,0.409,11,34,0.324,13,20,0.65,12,48,18,9,2,19,16
W,49,87,0.563,15,33,0.455,9,13,0.692,12,41,35,4,5,17,22,41,86,0.477,16,36,0.444,22,25,0.88,8,33,29,8,7,9,16
W,41,84,0.488,15,29,0.517,29,34,0.853,12,56,19,3,9,19,29,36,90,0.4,13,37,0.351,29,38,0.763,8,37,20,13,4,10,26
W,42,99,0.424,12,35,0.343,11,12,0.917,16,53,22,7,5,7,23,35,81,0.432,13,36,0.361,22,26,0.846,6,42,26,2,7,8,15
W,41,86,0.477,12,32,0.375,22,30,0.733,11,49,21,11,4,21,22,41,88,0.466,11,29,0.379,14,16,0.875,7,38,22,9,4,17,24
W,45,88,0.511,17,42,0.405,17,19,0.895,6,45,25,7,4,10,18,38,94,0.404,7,28,0.25,14,22,0.636,15,46,14,5,1,11,16
L,25,84,0.298,7,46,0.152,18,29,0.621,14,43,15,10,2,17,22,38,80,0.475,12,31,0.387,17,21,0.81,10,53,22,11,7,16,28
L,42,89,0.472,12,33,0.364,13,20,0.65,10,45,22,3,0,16,29,36,78,0.462,9,27,0.333,36,45,0.8,11,41,20,12,3,9,20
L,41,90,0.456,12,30,0.4,16,20,0.8,10,32,23,10,5,11,21,45,81,0.556,12,28,0.429,20,24,0.833,10,45,23,9,7,19,23
W,52,93,0.559,14,28,0.5,23,27,0.852,13,55,26,14,8,15,23,34,85,0.4,10,33,0.303,25,34,0.735,11,34,24,10,8,17,23
W,44,87,0.506,15,29,0.517,16,20,0.8,6,44,28,9,6,12,18,41,88,0.466,17,39,0.436,4,10,0.4,9,41,28,4,7,18,16
L,42,98,0.429,10,30,0.333,12,14,0.857,13,39,15,10,4,10,14,46,82,0.561,8,28,0.286,10,16,0.625,9,46,22,5,4,19,16
L,40,82,0.488,6,21,0.286,9,14,0.643,9,42,24,10,6,15,16,37,84,0.44,9,31,0.29,13,19,0.684,13,45,20,8,4,14,15
W,39,84,0.464,13,34,0.382,20,27,0.741,12,51,16,3,4,15,20,38,83,0.458,15,37,0.405,16,23,0.696,6,36,30,9,4,11,23
L,39,86,0.453,11,33,0.333,22,29,0.759,11,45,28,9,3,13,21,42,92,0.457,13,37,0.351,19,23,0.826,12,44,23,7,2,10,19
W,43,90,0.478,16,38,0.421,17,21,0.81,9,34,21,8,1,6,16,42,81,0.519,14,32,0.438,17,21,0.81,10,47,26,5,4,16,17
L,33,93,0.355,17,44,0.386,8,12,0.667,13,41,19,6,2,5,11,40,82,0.488,8,29,0.276,12,12,1,9,50,25,4,5,10,15
L,38,86,0.442,13,29,0.448,19,23,0.826,11,35,18,2,2,8,25,40,84,0.476,18,48,0.375,24,27,0.889,10,41,28,4,7,10,22
W,39,86,0.453,20,39,0.513,22,28,0.786,14,49,30,8,6,18,22,41,83,0.494,9,28,0.321,15,19,0.789,3,32,26,7,8,13,26
L,36,82,0.439,8,27,0.296,22,30,0.733,7,44,15,9,2,10,25,34,79,0.43,15,38,0.395,25,30,0.833,6,44,25,3,6,12,20
L,32,90,0.356,9,35,0.257,18,30,0.6,14,50,14,5,2,17,27,33,83,0.398,7,30,0.233,31,36,0.861,9,54,24,9,3,16,25
W,39,81,0.481,15,42,0.357,19,21,0.905,10,43,26,7,1,20,22,38,84,0.452,9,34,0.265,14,15,0.933,11,38,25,12,3,17,18
L,40,86,0.465,10,31,0.323,24,27,0.889,11,37,22,9,3,16,27,44,77,0.571,8,24,0.333,26,31,0.839,8,37,19,8,2,14,18
W,50,90,0.556,14,35,0.4,7,10,0.7,9,44,26,8,12,18,21,38,90,0.422,10,30,0.333,23,25,0.92,13,41,21,14,6,13,14
L,39,98,0.398,10,37,0.27,27,34,0.794,11,49,22,9,11,10,30,42,94,0.447,11,36,0.306,25,37,0.676,12,52,22,5,7,13,24
L,41,86,0.477,12,39,0.308,13,18,0.722,12,46,19,6,6,13,21,42,89,0.472,13,33,0.394,13,15,0.867,8,38,19,5,1,9,17
L,42,95,0.442,8,31,0.258,20,23,0.87,12,36,20,10,6,6,16,45,85,0.529,23,42,0.548,14,17,0.824,12,45,27,4,5,17,23
W,42,82,0.512,9,22,0.409,25,29,0.862,7,45,24,3,6,11,20,35,89,0.393,15,46,0.326,27,29,0.931,8,40,26,8,6,8,22
W,42,89,0.472,10,30,0.333,17,24,0.708,13,49,25,7,0,18,25,38,84,0.452,9,32,0.281,25,29,0.862,7,36,16,10,5,14,22
W,42,86,0.488,16,32,0.5,17,23,0.739,14,43,25,6,4,8,12,43,87,0.494,18,38,0.474,8,9,0.889,10,35,28,3,5,9,19
W,45,74,0.608,13,29,0.448,29,40,0.725,9,39,25,6,7,16,20,45,91,0.495,21,50,0.42,14,17,0.824,8,28,36,6,1,13,25
L,41,91,0.451,13,40,0.325,14,22,0.636,11,39,22,10,10,11,13,42,88,0.477,19,42,0.452,18,22,0.818,11,45,21,3,5,14,22
W,51,92,0.554,18,37,0.486,14,21,0.667,10,55,29,8,3,14,22,35,91,0.385,16,50,0.32,21,31,0.677,10,37,23,8,5,11,19
L,48,98,0.49,10,29,0.345,3,4,0.75,16,45,28,8,5,13,18,38,80,0.475,19,43,0.442,22,24,0.917,10,38,23,6,6,15,18
L,40,88,0.455,10,38,0.263,20,29,0.69,15,40,19,10,9,12,27,40,74,0.541,10,23,0.435,27,33,0.818,7,40,23,6,3,15,17
L,39,91,0.429,12,31,0.387,6,7,0.857,12,45,22,8,4,14,20,37,81,0.457,12,30,0.4,21,26,0.808,11,45,22,6,9,14,16
W,40,88,0.455,23,55,0.418,9,9,1,7,45,27,6,3,9,21,32,84,0.381,11,34,0.324,21,30,0.7,9,44,20,6,4,6,13
L,47,90,0.522,17,35,0.486,15,24,0.625,5,43,31,3,6,12,18,55,110,0.5,12,35,0.343,10,15,0.667,17,54,38,8,6,10,20
L,45,94,0.479,19,47,0.404,10,10,1,9,38,24,9,6,12,15,45,90,0.5,17,37,0.459,14,20,0.7,13,46,19,8,5,16,14
W,43,88,0.489,22,47,0.468,14,16,0.875,8,44,27,10,8,14,16,44,99,0.444,19,47,0.404,7,11,0.636,16,49,24,7,3,16,16
W,44,96,0.458,12,38,0.316,11,14,0.786,10,52,22,10,4,12,19,34,83,0.41,11,38,0.289,15,24,0.625,10,50,16,7,4,16,12
L,40,93,0.43,14,43,0.326,15,19,0.789,12,46,21,5,9,14,25,41,82,0.5,16,31,0.516,17,30,0.567,8,47,30,8,2,14,21
L,39,94,0.415,11,47,0.234,19,23,0.826,8,36,20,11,2,9,19,38,77,0.494,19,39,0.487,18,25,0.72,4,43,20,6,4,16,18
W,46,88,0.523,17,41,0.415,9,12,0.75,11,50,35,9,7,13,22,37,86,0.43,12,36,0.333,16,26,0.615,10,40,26,6,1,12,11
W,43,94,0.457,21,54,0.389,9,11,0.818,14,44,29,11,5,6,20,32,80,0.4,10,31,0.323,12,20,0.6,9,42,23,3,5,17,15
L,33,70,0.471,14,34,0.412,16,18,0.889,3,32,19,5,6,20,22,34,73,0.466,9,24,0.375,29,39,0.744,9,38,16,11,4,13,20
W,36,86,0.419,15,40,0.375,14,20,0.7,16,53,22,6,7,17,14,35,84,0.417,16,33,0.485,13,16,0.813,5,39,22,7,4,14,21
W,47,87,0.54,19,42,0.452,32,34,0.941,9,45,32,9,5,20,25,47,96,0.49,15,42,0.357,27,30,0.9,9,37,30,14,0,14,26
W,39,87,0.448,7,33,0.212,20,23,0.87,10,52,20,4,7,9,18,32,88,0.364,8,34,0.235,15,18,0.833,13,46,23,5,4,9,20
W,42,90,0.467,15,35,0.429,17,24,0.708,9,46,30,5,4,9,19,43,90,0.478,17,43,0.395,12,17,0.706,8,46,31,6,5,14,22
W,48,85,0.565,14,32,0.438,11,13,0.846,7,48,33,4,6,21,20,44,98,0.449,12,37,0.324,13,19,0.684,11,36,28,12,2,8,16
W,44,94,0.468,15,46,0.326,16,20,0.8,14,45,18,9,2,9,18,41,80,0.513,17,40,0.425,15,20,0.75,8,40,22,6,2,17,23
L,36,77,0.468,10,25,0.4,14,15,0.933,3,39,21,8,3,15,15,41,91,0.451,11,32,0.344,9,10,0.9,9,40,30,11,8,12,15
W,33,77,0.429,12,40,0.3,21,24,0.875,10,48,20,7,2,20,12,36,88,0.409,6,35,0.171,8,9,0.889,10,38,18,10,2,17,23
L,38,94,0.404,17,42,0.405,11,16,0.688,15,54,21,6,6,19,20,37,86,0.43,11,32,0.344,24,28,0.857,6,47,26,12,7,11,19
L,34,88,0.386,14,41,0.341,22,26,0.846,11,41,18,6,2,13,13,47,93,0.505,21,43,0.488,10,11,0.909,10,46,39,7,8,11,21
L,41,97,0.423,11,49,0.224,22,25,0.88,8,39,21,16,7,14,26,39,81,0.481,13,30,0.433,28,36,0.778,10,51,25,5,3,27,24
W,44,92,0.478,15,40,0.375,17,22,0.773,19,54,26,9,8,14,24,37,87,0.425,13,35,0.371,24,32,0.75,11,33,29,7,5,11,18
W,49,105,0.467,18,38,0.474,27,36,0.75,17,52,31,7,7,13,26,49,92,0.533,11,24,0.458,31,38,0.816,8,43,29,6,1,11,27
L,43,89,0.483,20,39,0.513,13,15,0.867,10,45,29,3,6,18,21,44,85,0.518,19,38,0.5,22,26,0.846,3,36,27,8,5,9,18
W,51,96,0.531,21,45,0.467,9,12,0.75,9,45,28,8,9,11,23,33,85,0.388,6,25,0.24,24,28,0.857,10,45,13,7,7,17,11
L,35,86,0.407,11,39,0.282,18,23,0.783,11,47,19,5,8,13,15,43,99,0.434,18,40,0.45,17,18,0.944,15,52,26,10,4,9,20
L,45,83,0.542,14,38,0.368,20,25,0.8,6,34,29,7,3,14,22,47,82,0.573,16,35,0.457,20,22,0.909,3,35,30,8,2,11,20
L,46,88,0.523,18,37,0.486,11,17,0.647,3,32,31,8,5,11,21,48,81,0.593,16,30,0.533,17,22,0.773,6,43,25,7,4,14,21
L,36,101,0.356,12,41,0.293,10,14,0.714,13,46,14,9,8,7,23,36,80,0.45,8,24,0.333,22,27,0.815,7,55,27,4,6,15,13
W,46,95,0.484,18,42,0.429,14,18,0.778,9,44,27,8,6,14,24,39,95,0.411,5,37,0.135,25,34,0.735,20,51,22,8,7,12,19
L,35,86,0.407,11,41,0.268,11,15,0.733,9,46,19,4,6,12,19,34,79,0.43,13,27,0.481,15,19,0.789,4,41,16,7,6,10,17
L,36,85,0.424,9,37,0.243,21,26,0.808,6,39,17,6,0,11,23,38,79,0.481,11,30,0.367,19,27,0.704,6,48,21,7,7,18,26
L,41,83,0.494,13,32,0.406,20,26,0.769,3,27,20,13,3,9,22,51,91,0.56,19,39,0.487,17,24,0.708,17,53,33,9,4,16,23
W,43,87,0.494,14,41,0.341,24,27,0.889,11,54,25,10,2,6,14,26,76,0.342,4,33,0.121,17,20,0.85,5,36,13,2,2,12,19
L,34,87,0.391,12,42,0.286,19,33,0.576,13,39,24,10,6,14,16,43,84,0.512,15,34,0.441,17,21,0.81,12,50,30,6,6,23,28
W,32,78,0.41,12,37,0.324,17,23,0.739,4,49,18,9,3,16,25,29,78,0.372,7,33,0.212,18,25,0.72,5,41,20,10,2,14,24
L,39,89,0.438,11,42,0.262,19,27,0.704,11,41,23,6,4,15,27,39,85,0.459,13,37,0.351,27,30,0.9,11,48,16,11,2,16,24
W,39,82,0.476,16,39,0.41,19,20,0.95,10,51,24,4,3,15,31,30,77,0.39,11,40,0.275,29,36,0.806,7,35,17,5,4,12,19
W,42,87,0.483,16,40,0.4,24,31,0.774,7,44,27,12,7,13,21,43,97,0.443,15,44,0.341,16,21,0.762,9,47,25,8,1,13,27
W,39,79,0.494,20,40,0.5,14,18,0.778,6,44,25,5,8,17,17,38,89,0.427,6,31,0.194,16,22,0.727,10,43,17,11,2,9,16
W,40,96,0.417,15,46,0.326,9,16,0.563,13,54,22,8,12,10,15,38,100,0.38,10,38,0.263,7,14,0.5,15,53,26,8,7,11,17
L,45,97,0.464,13,36,0.361,6,13,0.462,11,51,22,5,6,9,23,43,96,0.448,14,37,0.378,12,25,0.48,16,57,22,5,3,10,14
L,41,93,0.441,8,31,0.258,11,19,0.579,12,47,18,6,2,16,23,43,85,0.506,7,25,0.28,24,33,0.727,5,47,32,14,6,13,23
L,31,82,0.378,9,36,0.25,22,27,0.815,8,38,21,6,4,16,16,44,88,0.5,12,33,0.364,16,18,0.889,9,46,23,9,6,14,23
W,51,97,0.526,8,27,0.296,14,17,0.824,9,49,32,5,6,8,17,41,92,0.446,16,39,0.41,14,21,0.667,8,38,21,6,3,10,20
W,45,93,0.484,14,39,0.359,18,20,0.9,7,42,23,3,2,5,21,41,89,0.461,12,28,0.429,23,30,0.767,9,49,21,3,5,7,18
L,37,83,0.446,5,25,0.2,29,40,0.725,10,36,15,7,4,10,23,47,86,0.547,16,37,0.432,23,29,0.793,13,52,28,5,5,14,28
L,41,84,0.488,11,32,0.344,20,24,0.833,8,34,26,11,4,11,22,40,79,0.506,15,35,0.429,22,28,0.786,14,49,25,9,4,16,20
L,42,91,0.462,12,35,0.343,8,9,0.889,4,36,22,4,7,8,12,42,91,0.462,16,41,0.39,16,21,0.762,11,50,20,7,7,9,18
L,37,86,0.43,9,33,0.273,18,27,0.667,8,40,20,6,4,11,27,38,87,0.437,20,48,0.417,24,26,0.923,17,56,21,8,5,15,25
L,44,83,0.53,9,29,0.31,8,14,0.571,5,37,22,5,4,15,26,37,81,0.457,10,22,0.455,27,31,0.871,9,42,22,9,0,13,19
L,37,86,0.43,10,32,0.313,24,25,0.96,7,42,16,9,7,14,17,43,92,0.467,13,35,0.371,10,12,0.833,11,45,19,7,3,16,24
W,43,93,0.462,13,40,0.325,23,25,0.92,13,45,27,8,7,10,19,45,90,0.5,14,38,0.368,12,17,0.706,13,46,31,6,4,16,20
L,38,92,0.413,20,50,0.4,20,23,0.87,10,42,26,2,3,10,24,51,89,0.573,22,43,0.512,23,27,0.852,4,45,37,6,6,8,19
W,44,96,0.458,21,47,0.447,25,30,0.833,15,47,27,5,0,14,19,46,86,0.535,20,45,0.444,20,23,0.87,6,40,27,11,4,16,24
W,45,87,0.517,12,34,0.353,25,30,0.833,10,48,30,4,6,14,22,42,91,0.462,18,42,0.429,20,28,0.714,7,41,27,9,5,9,27
W,43,84,0.512,14,35,0.4,18,20,0.9,4,37,25,3,3,9,24,40,88,0.455,14,39,0.359,23,28,0.821,9,42,27,7,4,9,20
W,51,88,0.58,25,45,0.556,16,21,0.762,5,37,30,4,2,6,22,48,90,0.533,17,37,0.459,17,23,0.739,9,38,31,5,3,9,19
L,40,81,0.494,14,41,0.341,24,25,0.96,10,35,19,5,6,12,21,45,85,0.529,18,40,0.45,13,19,0.684,10,36,15,7,2,15,23
W,35,80,0.438,15,41,0.366,17,26,0.654,5,49,17,6,4,16,18,37,94,0.394,6,31,0.194,12,19,0.632,13,51,17,7,1,13,23
W,42,89,0.472,13,33,0.394,13,15,0.867,8,38,19,5,1,9,17,41,86,0.477,12,39,0.308,13,18,0.722,12,46,19,6,6,13,21
L,32,78,0.41,13,34,0.382,20,23,0.87,10,50,17,2,9,18,21,39,90,0.433,12,29,0.414,21,25,0.84,8,39,26,11,6,7,19
W,45,86,0.523,14,36,0.389,11,17,0.647,6,36,23,12,8,8,15,35,86,0.407,14,44,0.318,14,19,0.737,14,47,21,5,4,19,16
W,47,90,0.522,17,46,0.37,19,23,0.826,7,46,29,6,6,8,12,47,95,0.495,20,41,0.488,10,14,0.714,6,41,25,5,1,8,17
W,32,83,0.386,8,40,0.2,15,19,0.789,7,53,18,8,3,12,13,29,87,0.333,9,39,0.231,11,17,0.647,8,45,13,6,4,13,20
W,43,83,0.518,13,40,0.325,16,19,0.842,13,51,29,3,1,14,19,38,83,0.458,12,28,0.429,16,20,0.8,6,30,18,10,2,9,19
L,35,82,0.427,15,34,0.441,23,33,0.697,6,37,20,4,9,6,22,41,91,0.451,16,32,0.5,18,20,0.9,16,55,25,2,6,9,24
W,42,86,0.488,18,46,0.391,14,16,0.875,11,48,26,5,3,8,19,37,90,0.411,16,41,0.39,13,18,0.722,12,42,27,5,1,10,19
L,39,79,0.494,17,41,0.415,4,5,0.8,4,33,24,8,4,14,16,43,86,0.5,14,32,0.438,9,11,0.818,9,46,23,10,0,9,12
W,40,79,0.506,15,34,0.441,10,12,0.833,6,43,14,7,7,18,16,37,88,0.42,9,32,0.281,6,11,0.545,8,37,22,12,3,12,15
L,44,81,0.543,19,42,0.452,12,13,0.923,5,39,25,4,4,12,16,44,93,0.473,22,47,0.468,15,17,0.882,13,43,17,5,0,6,15
W,48,86,0.558,19,37,0.514,17,20,0.85,8,52,23,4,3,10,17,34,89,0.382,9,41,0.22,15,19,0.789,9,33,17,7,3,6,17
W,48,99,0.485,16,44,0.364,16,22,0.727,14,53,27,5,6,10,22,38,86,0.442,12,38,0.316,20,26,0.769,6,37,24,6,2,12,25
L,39,95,0.411,8,35,0.229,8,14,0.571,15,51,17,4,4,15,18,38,87,0.437,20,47,0.426,13,18,0.722,13,49,26,9,10,10,17
L,37,83,0.446,10,31,0.323,19,24,0.792,10,38,19,2,4,7,20,42,81,0.519,9,26,0.346,19,29,0.655,8,42,20,2,5,6,18
W,51,96,0.531,16,44,0.364,9,13,0.692,8,43,30,11,3,8,21,38,81,0.469,9,26,0.346,21,33,0.636,10,47,17,8,4,16,14
W,38,77,0.494,19,39,0.487,18,25,0.72,4,43,20,6,4,16,18,39,94,0.415,11,47,0.234,19,23,0.826,8,36,20,11,2,9,19
W,41,88,0.466,12,37,0.324,5,10,0.5,4,47,19,6,2,10,12,32,89,0.36,12,38,0.316,10,10,1,9,43,18,7,3,11,17
W,40,90,0.444,10,30,0.333,19,24,0.792,14,50,17,7,4,7,22,35,86,0.407,5,25,0.2,12,15,0.8,9,44,12,4,3,14,21
W,41,91,0.451,23,49,0.469,6,8,0.75,10,44,22,2,2,9,18,37,88,0.42,12,44,0.273,17,22,0.773,14,48,20,3,4,8,18
L,33,87,0.379,10,39,0.256,17,22,0.773,11,46,16,4,5,9,15,38,88,0.432,17,44,0.386,9,16,0.563,10,49,21,7,5,10,18
W,43,97,0.443,17,45,0.378,13,18,0.722,15,56,23,6,8,11,15,38,100,0.38,12,33,0.364,13,16,0.813,14,52,16,8,1,9,20
L,45,94,0.479,13,42,0.31,14,15,0.933,11,37,25,5,3,12,21,45,83,0.542,8,21,0.381,21,27,0.778,10,41,20,10,7,14,20
L,35,83,0.422,9,36,0.25,16,20,0.8,11,46,16,7,3,15,24,39,80,0.488,12,31,0.387,23,33,0.697,6,40,24,9,4,9,20
W,44,88,0.5,13,40,0.325,13,17,0.765,8,45,25,4,3,11,17,42,90,0.467,13,34,0.382,16,21,0.762,11,45,27,7,3,7,18
L,40,91,0.44,15,45,0.333,14,19,0.737,10,41,30,6,7,9,17,44,86,0.512,14,28,0.5,15,21,0.714,9,45,22,4,5,9,20
L,39,87,0.448,16,48,0.333,13,20,0.65,10,42,15,3,8,14,20,44,89,0.494,11,24,0.458,22,25,0.88,10,42,22,11,3,6,19
W,46,92,0.5,16,43,0.372,19,26,0.731,11,43,25,8,2,6,22,40,79,0.506,13,32,0.406,24,31,0.774,7,42,30,2,2,13,24
W,40,82,0.488,9,24,0.375,26,36,0.722,9,38,23,11,5,12,15,43,90,0.478,10,30,0.333,14,17,0.824,12,45,26,7,5,16,28
