W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
L,41,87,0.471,14,41,0.341,10,10,1,7,47,21,0,7,9,19,40,94,0.426,14,36,0.389,17,18,0.944,10,40,25,8,3,1,10
L,32,83,0.386,11,37,0.297,18,20,0.9,10,45,19,5,5,15,21,37,88,0.42,7,27,0.259,21,28,0.75,15,52,25,9,7,9,23
W,46,86,0.535,24,46,0.522,7,10,0.7,8,38,26,12,7,15,15,43,88,0.489,15,34,0.441,10,17,0.588,11,37,25,12,5,16,16
W,36,86,0.419,14,49,0.286,22,26,0.846,8,47,15,5,4,10,16,41,97,0.423,15,42,0.357,9,14,0.643,17,54,27,8,1,11,24
W,42,88,0.477,15,38,0.395,24,25,0.96,9,41,20,6,7,8,14,49,103,0.476,11,29,0.379,10,16,0.625,18,51,25,3,3,7,19
L,43,94,0.457,18,43,0.419,17,19,0.895,15,41,26,8,2,11,18,49,83,0.59,13,24,0.542,16,19,0.842,5,38,28,6,1,13,20
W,43,89,0.483,13,40,0.325,26,30,0.867,7,34,26,6,5,8,18,44,86,0.512,10,26,0.385,23,31,0.742,19,56,23,5,7,18,24
L,39,89,0.438,17,45,0.378,17,21,0.81,9,42,22,6,3,11,29,36,73,0.493,13,38,0.342,29,39,0.744,5,45,24,6,4,12,22
W,38,73,0.521,18,43,0.419,31,31,1,4,32,20,8,8,17,19,46,88,0.523,16,33,0.485,16,20,0.8,10,41,38,8,3,16,24
W,33,87,0.379,14,43,0.326,21,25,0.84,14,50,11,8,8,13,19,33,83,0.398,10,37,0.27,17,25,0.68,10,44,24,6,5,12,19
W,44,93,0.473,22,47,0.468,15,17,0.882,13,43,17,5,0,6,15,44,81,0.543,19,42,0.452,12,13,0.923,5,39,25,4,4,12,16
L,34,89,0.382,9,41,0.22,15,19,0.789,9,33,17,7,3,6,17,48,86,0.558,19,37,0.514,17,20,0.85,8,52,23,4,3,10,17
L,36,90,0.4,19,55,0.345,21,23,0.913,13,44,25,4,5,8,20,43,87,0.494,9,30,0.3,21,27,0.778,10,47,25,5,2,8,17
